t0,m0,mw,x,y,z,area,dt
632072779482.9016,1.099613660362881e+20,7.29416,434282.099968,4870801.856758,-13153.846154,1065162627.386574,32.069091796875
632312419047.0044,7.217804048403666e+19,7.17227,690982.958379,5330535.757281,-10800.0,846077239.250785,27.8277587890625
632315224399.8285,2.9633711530325307e+22,8.914524,1927083.403158,7198840.435245,-11513.513514,95838085920.01366,468.188720703125
632396013175.2025,2.941200011441253e+20,7.579016,571351.62998,5273559.447493,-12600.0,2557745013.62222,43.845458984375
632885617922.3829,3.335228663440223e+20,7.615417,132887.993568,4936999.250407,-13709.202584,3800400298.171349,55.8548583984375
633436161438.9679,4.289727412326357e+19,7.02162,776003.434171,5354216.891222,-12600.0,603288474.379909,20.4268798828125
633446927929.8821,6.885226670231673e+19,7.158612,810128.97657,5377300.111696,-5942.911332,777952592.477899,20.1114501953125
633454263793.413,2.7870623326872017e+20,7.563431,313192.062738,5113596.686485,-13000.0,2492730333.951663,62.07568359375
634096170967.1373,1.8041540203849777e+20,7.437516,161709.833631,4978259.056852,-8571.428571,2005357220.680921,37.7630615234375
634210633687.1781,9.240847951126335e+19,7.243808,972384.4124,5623125.525107,-11000.0,1044674427.032572,29.4036865234375
634215511600.5165,5.392358432215173e+19,7.087853,1001991.837633,5673668.903694,-13000.0,672621929.509227,24.7039794921875
634510047574.5383,8.673985937678202e+19,7.225479,560315.205601,5252399.096987,-5000.0,890570560.747713,19.896240234375
635051911287.6079,4.3287636017315865e+19,7.024243,175445.594433,4996358.291493,-11590.909091,663048839.846061,21.0159912109375
635134091867.7339,9.772110594412464e+19,7.259992,709053.487731,5327463.247468,-13200.0,966149445.844398,17.6309814453125
635483063439.9303,1.4221881211265506e+20,7.368638,1915780.090197,7219550.980524,-15405.405405,2080703645.96532,31.6048583984375
636040412813.122,2.6312358807615727e+20,7.546773,533973.100165,5258485.853635,-12600.0,2048696221.025214,40.723388671875
636044379685.7433,4.217863019563568e+19,7.016728,852103.482937,5436217.886793,-12600.0,677356946.766618,20.98486328125
636191279269.7723,9.410424716871728e+19,7.249073,772832.206807,5370152.803993,-10000.0,809340151.386357,19.464599609375
636371865075.2216,7.172446751045929e+19,7.170445,798316.004938,5391506.522242,-9900.0,899909424.683673,29.069091796875
636419085150.3416,3.358996735539404e+21,8.28414,819127.264518,5361573.697415,-15405.405405,16466236513.78379,134.622314453125
636714963938.7001,5.831349831532642e+19,7.110513,569969.42201,5367079.518414,-12600.0,633855322.737513,24.033935546875
636718206846.7283,8.34620981424479e+19,7.214326,1046158.622779,5550918.857774,-11571.428571,888409165.287618,24.9979248046875
637112491936.5747,1.8826189107641364e+21,8.116508,5296.810876,4560009.999956,-13463.414634,13730034575.050282,112.1131591796875
637116912085.7157,1.9011226181692536e+20,7.452673,69890.025058,4696262.758033,-7200.0,1757023610.04469,54.6981201171875
637212674435.8914,7.568392822058935e+20,7.852669,321291.16468,5118817.350185,-3000.0,5537164739.192522,123.634521484375
637384374032.3306,4.2516239322959924e+20,7.685703,233596.079189,5053585.059386,-17628.384687,3237931911.63704,47.4139404296875
638308324218.3804,4.522491590064044e+19,7.036919,53135.285227,4774437.840901,-18000.0,946216425.803457,22.3927001953125
638472258580.6735,1.5612712284819433e+22,8.728986,1948607.255624,7156661.97877,-3891.891892,63885537599.401825,353.623291015625
638565986569.0706,1.3433939779567614e+20,7.352136,135157.59192,4946766.558762,-3114.285714,1875182061.455815,36.9892578125
638708827684.19,1.0036118335021895e+20,7.267711,609608.692069,5285909.618372,-12600.0,1022422511.667567,18.2100830078125
638751596221.6945,8.267537537000009e+19,7.211584,174720.998763,5044985.228274,-12600.0,735640197.906386,18.0274658203125
638778039603.0399,6.5411991893536604e+19,7.143772,93802.55172,4903669.471073,-5658.536585,835867487.970883,28.0262451171875
638817536118.4758,1.240687277634297e+20,7.329108,619881.90596,5274609.091091,-11454.545455,965738476.503638,25.4510498046875
638954729926.8468,3.172558496489502e+20,7.60094,1042592.204841,5522393.06399,-19297.297297,3161682900.589046,42.8873291015625
639119916466.9583,6.8793287309791126e+19,7.158364,729422.691724,5341415.758098,-11700.0,577376194.273665,15.1929931640625
639426309744.4944,3.260956749812151e+20,7.608897,314961.558452,5116798.259573,-3000.0,2557589895.745837,59.053466796875
639469217815.6273,1.050934482678301e+20,7.28105,990183.622477,5589293.704753,-6300.0,1122325537.618664,43.6190185546875
640214846826.6764,4.479796075009286e+19,7.034172,823186.338409,5424151.197395,-13000.0,450910063.532254,14.879150390625
640275585395.5052,2.008505620504225e+20,7.468582,692998.098913,5331283.097571,-10800.0,1766629425.2266,32.0391845703125
640308022163.9967,8.935177998937807e+19,7.234069,1037701.889224,5919445.272663,-6000.0,921243130.258227,18.80712890625
640528377380.6534,1.3295412157204352e+20,7.349135,665045.095739,5292077.494438,-13000.0,1145156551.042959,31.498291015625
641360197465.2358,1.6822072663745e+20,7.417253,742351.6037,5383633.428642,-13000.0,1329731311.017869,36.7020263671875
641378495104.4459,1.0379879317479439e+20,7.277462,1903534.83449,7241987.404576,-19621.621622,1624097848.193783,32.7169189453125
641393821422.9421,1.729276986153394e+20,7.425243,120840.258841,4938393.395624,-7459.604563,1597524345.422564,21.9573974609375
641403539429.5226,5.8195288289965064e+19,7.109925,837328.881342,5381562.368812,-8119.98812,702126560.283537,23.40625
641411180794.311,8.212707687817703e+19,7.209658,227830.621083,4812421.522958,-10800.0,871019745.45525,37.3685302734375
641698728513.3491,5.7039292656549356e+19,7.104116,1054944.381485,5858185.626276,-5250.0,619776045.519024,17.147705078125
642115441920.4348,8.674300249529898e+19,7.22549,667575.737697,5238687.497427,-12000.0,764648685.663303,24.2271728515625
